,Name,AddressLine1,AddressLine2,AddressLine3,City,State,ZipCode,DesignatorCode,CertificateHoldingOffice,CertificateNumber,AccessoryRatingClass1,AccessoryRatingClass2,AccessoryRatingClass3,AccessoryRatingLimited,AirframeRatingClass1,AirframeRatingClass2,AirframeRatingClass3,AirframeRatingClass4,AirframeRatingLimited,InstrumentRatingClass1,InstrumentRatingClass2,InstrumentRatingClass3,InstrumentRatingClass4,InstrumentRatingLimited,PowerplantRatingClass1,PowerplantRatingClass2,PowerplantRatingClass3,PowerplantRatingLimited,PropellerRating1,PropellerRating2,PropellerRatingLimited,RadioRatingClass1,RadioRatingClass2,RadioRatingClass3,RadioRatingLimited,LimitedRatingEquipment,LimitedRatingAircraftFabric,LimitedRatingNonDestructiveTst,LimitedRatingFloats,LimitedRatingSpecializedServic,LimitedRatingRotorBlades,LimitedRatingLandingGear,Status,Original_Issue_Date,EASA_Certificate_Number,EASA_Expiration_Date,Certificated_Mechanics,Repairmen,Non_Certificated,Total_Employees,coords,lat,long
22,SPACEPORT AVIONICS SERVICES INC                   ,7000 Challenger Avenue             ,                                   ,                                   ,Titusville            ,FL,32780,18SR,SO15,18SR043D,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N, ACTIVE            , 12-OCT-2017, , ,2.0,1.0,1.0,6.0,"(28.6067158, -80.8105134)",28.6067158,-80.8105134
23,TAI ACQUISITION CORPORATION                       ,116 TEXAS WAY                      ,                                   ,                                   ,FORT WORTH            ,TX,76106,18TR,SW19,18TR248C,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 18-NOV-2013, , ,26.0,2.0,3.0,36.0,"(32.784913, -97.374036)",32.784913,-97.374036
24,GENERAL MRO AEROSPACE INC                         ,10990 NW 92nd Terrace              ,                                   ,                                   ,MIAMI                 ,FL,33178,19GR,SO19,19GR994Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 8-JAN-2008,  6095        ,  1-MAR-2022,3.0,5.0,4.0,30.0,"(25.832301027949747, -80.36993295538608)",25.832301027949747,-80.36993295538608
25,"AIRWAY AEROSPACE, INC.                            ",2150 NW 95TH AVENUE                ,                                   ,                                   ,DORAL                 ,FL,33172,19LR,SO19,19LR020B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 16-SEP-2008,  6563        ,  1-JUL-2020,4.0,0.0,33.0,52.0,"(25.7757733, -80.3815966)",25.7757733,-80.3815966
26,TECHNO COATINGS INC                               ,1865 NE 144TH STREET               ,                                   ,                                   ,NORTH MIAMI           ,FL,33181,19TR,SO19,19TR441B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N, ACTIVE            , 9-DEC-2010, , ,0.0,8.0,140.0,179.0,"(25.882435, -80.159012)",25.882435,-80.159012
27,SATAIR USA INC                                    ,11255 NW 106th Street              ,                                   ,                                   ,Doral                 ,FL,33179,19UR,SO19,19UR764B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 26-MAY-2011,  6782        ,  15-NOV-2021,2.0,4.0,3.0,10.0,"(25.95948088965754, -80.17899282106671)",25.95948088965754,-80.17899282106671
28,POWER AVIATION SOLUTIONS LLC                      ,7824 NW 57 Street                  ,                                   ,                                   ,Miami                 ,FL,33166,19WR,SO19,19WR307D,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 31-MAY-2019, , ,2.0,0.0,0.0,2.0,"(25.82295013345299, -80.3049405890778)",25.82295013345299,-80.3049405890778
29,APPLE INTERNATIONAL INC                           ,367 INDUSTRIAL  DR.                ,                                   ,                                   ,BRISTOL               ,TN,37620,1A1R,CE19,1A1R131B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 10-AUG-2009, , ,2.0,0.0,0.0,6.0,"(36.591844, -82.178121)",36.591844,-82.178121
30,ATLANTIC GAS TURBINE CENTER INC                   ,3505 NW 153RD STREET               ,                                   ,                                   ,MIAMI GARDENS         ,FL,33054,1A3R,SO19,1A3R082B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 22-AUG-2008,  6735        ,  31-JAN-2021,4.0,0.0,6.0,10.0,"(25.9522357, -80.4311519)",25.9522357,-80.4311519
31,ALPHA TURBINE AVIATION TECHNOLOGY LLC             ,8050 NW 31ST STREET                ,                                   ,                                   ,MIAMI                 ,FL,33122,1A6R,SO19,1A6R094B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 7-MAY-2009,  5337        ,  1-APR-2021,3.0,1.0,0.0,5.0,"(25.800962486600245, -80.32129298774684)",25.800962486600245,-80.32129298774684
